134429601,meow173
53421869,business_phones
304805452,teasersworld
1115928702779572225,icomplainsorry
1197693426,zeusratg
1038966801454047232,stephan43940477
38527834,bobhanaka
24926286,dmez21
302586414,gracefuldawn
3311688730,r_posthumus666
1019062207,curtventresca
858374215250194434,stellanova87
243381754,padgettniagara
45208566,travisjamesh
885817948371386368,charlepeck
1025068705993117697,corneliusecon
1220020858598645762,coach_leo_
2967745985,bbhtinstitute
1022079161366728704,lynnholliday8
1889761692,bonniedawestie
18688548,street_tweets
1004022175,nancy_crouse
1925261670,tour_puertorico
118825451,cjspeakeasy
933434282927972357,darndifino
1094896151055265793,kimberl18782278
1879816080,abritoverseas
719883154979438592,canadacolonel
32408695,ddn627
2329606183,rod_lukey
718069511610568705,brockusociology
28480429,sjbedard
723109254702370816,aksharpatel812
2665916088,nrpublichealth
102556875,niagaragazette
423677000,sccsaints
131347637,tracyorama
1043609729224855552,inatgahb_kivahb
1241760580291133441,itscarsantry
803436922395836417,peninexcavation
3292901241,agingophelia
3221380487,kevinwhitaker13
34566062,shelley1690
236237377,heyitschal
938807952101773312,thethoroldnews
3147216140,joshdiestoday
1241058150675091459,catharinesguy
1099665331273023488,csmegma
194462371,ryaninabox
1058174805457977345,justinismayor
217184084,timmer34
809962176127660032,petert36152843
47760929,markhenick
92362291,welland
1558345560,routzniagara
1202232890,drjpricetrustee
20011493,wnylibrarian
18335539,stirstick
499316364,portocarrero54
153864033,scottandros
1206770757033967617,stjuliaparishs1
147658618,wnypapers
1603709857,trajanpublisher
2327118996,grimsbyyoga
502393637,msledski7
1231655524342648838,canadianvladto
841683173754966016,leftfieldlark
746160106388226048,billsfannfl
2458922526,candersonhill
763602397,leahferoleto
1152429084233936897,skully_nwx
21510906,cole1212
1045082849819414529,chelseabielecky
523553031,firemonitoring
23153779,dreamer_782
268435208,ddunkley_dlc
1337846736,grovertim
3346301230,manthony4376
403568762,chriswb84
900116113660534787,liambobyk
1149281143,puzzlingpixel
3249205373,ms_etherington
42638264,610cktb
1044332936152190977,truck_as
2276369184,onlinedrea
2191515872,kimber967
606316732,unclejumbosvdk
1314071420,bcampagiorni
560336616,eriemutual
255323778,adrianooo19
139712611,mpparadisepools
4195019774,judy_rotz
807310150985990145,wmkl_llp
30233014,pbeens
790483234895368196,ourdogprince
74555522,qwnmelissa
1408012668,nfsbec
28903510,loriannryan8
881015944713261056,mrscavers78
960541112590065664,downtownbench
741614214914146308,ihsdepot
1162091123780837377,angeletombee
1915465194,irelynelavery
4860967004,bsc_xctf
2753341,captainb_money
978506311712235520,lifeofhayds
2967119237,pdyster
956680508,terrys1999
357791904,camgarrity
51935448,claudiahuertabr
708663610944438273,niagaratrailers
16644638,jeffburch_
514930153,wordsofthislife
1459566673,melissarayhill
1231507322012340225,sezgineminolu1
361322536,faabs89
50820505,thewingsexpert
1027000463722524672,jaeydepanda
798182161115467776,studentsupassoc
769816380,dannykalfus
1148065915,cguthoerl
525860838,eileenwkbw
16369529,harrietglynn
1148663196686979072,caaaaarri
1643503944,tomkubow
